,Chengdu,Dalian,Dongguan,Harbin,Qingdao,Quanzhou,Shenyang,Zhengzhou
-1.000000,0.12115824546496376,0.08846835577890924,0.09685318156352786,0.10142815650311754,0.11522324710543909,0.10653465719716534,0.1313824731054368,0.1238702814175807
-0.900000,0.11895356556772756,0.08853541698810495,0.10068580924373798,0.10539935209195268,0.11334329281429278,0.10070941393457654,0.12375933791575211,0.12167170732474787
-0.800000,0.11633047219978002,0.09203717785761692,0.10037097303324083,0.10298697810442282,0.1144414491350188,0.11023906031631536,0.13254641604886933,0.11965678746092431
-0.700000,0.11869445178128758,0.08349599947100443,0.10710361102967458,0.10689238134432726,0.10801539064634273,0.10889979066227135,0.12524883470696435,0.11946295509638973
-0.600000,0.12091914134537592,0.08551035827204577,0.09077547316577042,0.10482205291066954,0.11077651191250908,0.10648340954451276,0.12706655525923757,0.11986948749880488
-0.500000,0.12109619582222642,0.09193549315367076,0.09942196203529303,0.10470442609696405,0.1074567787029613,0.10704503197443685,0.12701953209267247,0.122063970973555
-0.400000,0.11754079626593819,0.09094494282684457,0.10605055928490247,0.10418846694539945,0.11490022010434411,0.10231504527745874,0.12466244667801761,0.12161528584101534
-0.300000,0.11807268113133326,0.08944907315567899,0.10392708952474086,0.10420827931064623,0.1079457112968388,0.11073685962721484,0.12413666749682202,0.12048668673247963
-0.200000,0.11879071180184579,0.08973406951883445,0.1041867050734736,0.1030456959093293,0.10994827770016502,0.10438425244754831,0.1310268479214489,0.12114436856226876
-0.100000,0.12065127352488154,0.08174642621858783,0.0964380382759507,0.10576554396596935,0.10253250481408846,0.10444464270945744,0.12020860752918935,0.12038952850180508
0.000000,0.12159652494017743,0.08960476561332872,0.10245561576559933,0.10882573495134316,0.11056399239518391,0.11775025677245786,0.13378796810421095,0.12800512174429765
0.100000,0.12832998864480294,0.09885744304113675,0.11583625668170007,0.10245446615873201,0.11150059634728957,0.12028773367642288,0.1395423880033737,0.12249773382178702
0.200000,0.127518274506745,0.09740255215871826,0.11382655403492356,0.11213773235825418,0.11811450423217788,0.10823998151301356,0.14037076341066565,0.13316472241283533
0.300000,0.1289131266150381,0.10169578591353372,0.1106997468132658,0.11924654740399744,0.1170293687158655,0.1150878659044743,0.137518236536929,0.1339660478699135
0.400000,0.12806812341205476,0.09758490256440398,0.11198226237043225,0.11950146771749898,0.12273703971872842,0.12091401992507333,0.13998935328185982,0.13494853445740615
0.500000,0.12665160327369768,0.09526192627858963,0.10985025850799796,0.11583429542276091,0.12065815863060006,0.11473971114048656,0.13744671797549812,0.13239053058221115
0.600000,0.12274898431030998,0.09477467482691314,0.10820256494953835,0.1094009764145446,0.11691705664299785,0.11945694722532142,0.13425703735863748,0.13744728488250366
0.700000,0.12555729280119582,0.1007949566639972,0.10758550542969707,0.10972415651768545,0.11906834339831335,0.11496666503080516,0.1366636523890602,0.12994683406734514
0.800000,0.12842212930363522,0.0968928000274294,0.11215727421777423,0.10973518260882233,0.12753354314689244,0.11808989945196538,0.14023043858066103,0.12960835357463138
0.900000,0.12717242301506324,0.10025670367186601,0.10849625415660981,0.11174339709224404,0.12074729977945145,0.11095757832807879,0.13665268818735435,0.1355199381324271
1.000000,0.12419730067439229,0.09748938947543721,0.10985013300649395,0.11927376209136997,0.12241907111968924,0.12292654992360316,0.1369881406932175,0.1299467130431415
