Fraction_Removed,Robustness
0.0,1.0
0.025,0.19744126879974466
0.05,0.1806590635619297
0.075,0.16365965176811137
0.1,0.15547842019931168
0.125,0.1444229486194768
0.15,0.1321923154599679
0.175,0.12165694956947838
0.2,0.1103172809100229
0.225,0.102187751619288
0.25,0.11332831120617189
0.275,0.1206059925654562
0.3,0.13773768961382027
0.325,0.1523268163698021
0.35,0.16453657371561897
0.375,0.2046432044799551
0.4,0.22865465734160365
0.425,0.23843655716069218
0.45,0.2591333005193628
0.475,0.26597591647385754
0.5,0.2859199212279989
0.525,0.31578684338004986
0.55,0.360973167191424
0.575,0.38802211074145626
0.6,0.41592307729657557
0.625,0.42774111305361306
0.65,0.4388224762083458
0.675,0.48438674789692593
0.7,0.5100366986221366
0.725,0.5744926427738928
0.75,0.5738022533022533
0.775,0.5867638888888889
0.8,0.5991476370851371
0.825,0.598510101010101
0.85,0.6323799603174605
0.875,0.6461369047619047
0.9,0.6579464285714285
0.925,0.7393750000000001
0.95,0.7670833333333331
0.975,0.8075
1.0,0.0
